timestamp,frame,track_id,class,line,direction
2026-03-15T13:25:04.321567,33,20,vehicle,EAST GATE,BtoA
2026-03-15T13:25:08.310690,49,1,vehicle,EAST GATE,BtoA
2026-03-15T13:25:36.241659,155,26,vehicle,EAST GATE,BtoA
2026-03-15T13:26:26.729615,353,22,person,EAST GATE,AtoB
2026-03-15T13:26:42.434933,413,123,vehicle,EAST GATE,AtoB
2026-03-15T13:26:50.402900,442,122,vehicle,EAST GATE,AtoB
2026-03-15T13:27:40.521331,580,160,vehicle,EAST GATE,AtoB
2026-03-15T13:28:01.390833,638,204,vehicle,EAST GATE,AtoB
2026-03-15T13:28:17.896448,680,226,vehicle,EAST GATE,AtoB
2026-03-15T13:28:58.317767,801,291,vehicle,EAST GATE,AtoB
2026-03-15T13:29:18.707416,864,338,vehicle,EAST GATE,AtoB
2026-03-15T13:29:26.797556,890,322,vehicle,EAST GATE,AtoB
2026-03-15T13:29:47.247050,943,322,vehicle,EAST GATE,BtoA
2026-03-15T13:29:53.602378,963,370,vehicle,EAST GATE,AtoB
2026-03-15T13:30:20.773596,1050,370,vehicle,EAST GATE,BtoA
2026-03-15T13:30:42.966009,1109,468,vehicle,EAST GATE,BtoA
